Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College
1,2016,NBA,1,1,PHI,Ben Simmons\simmobe01,19.343,G-F,au,Louisiana State University
2,2016,NBA,1,2,LAL,Brandon Ingram\ingrabr01,18.299,F,us,Duke University
3,2016,NBA,1,3,BOS,Jaylen Brown\brownja02,19.247,F-G,us,University of California
4,2016,NBA,1,4,PHO,Dragan Bender\bendedr01,18.223,F,ba,
5,2016,NBA,1,5,MIN,Kris Dunn\dunnkr01,22.103,G,us,Providence College
6,2016,NBA,1,6,NOP,Buddy Hield\hieldbu01,22.194,G,bs,University of Oklahoma
7,2016,NBA,1,7,DEN,Jamal Murray\murraja01,19.125,G,ca,University of Kentucky
8,2016,NBA,1,8,SAC,Marquese Chriss\chrisma01,18.361,F,us,University of Washington
9,2016,NBA,1,9,TOR,Jakob Poeltl\poeltja01,20.257,C,at,University of Utah
10,2016,NBA,1,10,MIL,Thon Maker\makerth01,19.123,F-C,ss,
11,2016,NBA,1,11,ORL,Domantas Sabonis\sabondo01,20.056,F,us,Gonzaga University
12,2016,NBA,1,12,UTA,Taurean Prince\princta02,22.099,F,us,Baylor University
13,2016,NBA,1,13,PHO,Georgios Papagiannis\papagge01,18.36,C,gr,
14,2016,NBA,1,14,CHI,Denzel Valentine\valende01,22.225,G,us,Michigan State University
15,2016,NBA,1,15,DEN,Juan Hernangomez\hernaju01,20.274,F,es,
16,2016,NBA,1,16,BOS,Guerschon Yabusele\yabusgu01,20.194,F,fr,
17,2016,NBA,1,17,MEM,Wade Baldwin\baldwwa01,20.091,G,us,Vanderbilt University
18,2016,NBA,1,18,DET,Henry Ellenson\ellenhe01,19.166,F,us,Marquette University
19,2016,NBA,1,19,DEN,Malik Beasley\beaslma01,19.214,G,us,Florida State University
20,2016,NBA,1,20,IND,Caris LeVert\leverca01,21.308,G-F,us,University of Michigan
21,2016,NBA,1,21,ATL,DeAndre Bembry\bembrde01,21.36,F,us,Saint Joseph's University
22,2016,NBA,1,22,CHO,Malachi Richardson\richama01,20.175,G,us,Syracuse University
23,2016,NBA,1,23,BOS,Ante Zizic\zizican01,19.175,F-C,hr,
24,2016,NBA,1,24,PHI,Timothe Luwawu\luwawti01,21.051,F,fr,
25,2016,NBA,1,25,LAC,Brice Johnson\johnsbr02,22.002,F,us,University of North Carolina
26,2016,NBA,1,26,PHI,Furkan Korkmaz\korkmfu01,18.339,G,tr,
27,2016,NBA,1,27,TOR,Pascal Siakam\siakapa01,22.145,F,cm,New Mexico State University
28,2016,NBA,1,28,PHO,Skal Labissiere\labissk01,20.102,F,ht,University of Kentucky
29,2016,NBA,1,29,SAS,Dejounte Murray\murrade01,19.282,G,us,University of Washington
30,2016,NBA,1,30,GSW,Damian Jones\jonesda03,20.364,F-C,us,Vanderbilt University
31,2016,NBA,2,31,BOS,Deyonta Davis\davisde01,19.208,F-C,us,Michigan State University
32,2016,NBA,2,32,LAL,Ivica Zubac\zubaciv01,19.102,C,ba,
33,2016,NBA,2,33,LAC,Cheick Diallo\diallch01,19.288,F,ml,University of Kansas
34,2016,NBA,2,34,PHO,Tyler Ulis\ulisty01,20.175,G,us,University of Kentucky
35,2016,NBA,2,35,BOS,Rade Zagorac\zagorra01,20.321,G-F,rs,
36,2016,NBA,2,36,MIL,Malcolm Brogdon\brogdma01,23.2,G,us,University of Virginia
37,2016,NBA,2,37,HOU,Chinanu Onuaku\onuakch01,19.239,F-C,us,University of Louisville
38,2016,NBA,2,38,MIL,Patrick McCaw\mccawpa01,20.247,G,us,University of Nevada Las Vegas
39,2016,NBA,2,39,NOP,David Michineau\michida01,22.023,G,gp,
40,2016,NBA,2,40,NOP,Diamond Stone\stonedi01,19.138,C,us,University of Maryland
41,2016,NBA,2,41,ORL,Stephen Zimmerman\zimmest01,19.292,C,us,University of Nevada Las Vegas
42,2016,NBA,2,42,UTA,Isaiah Whitehead\whiteis01,21.113,G,us,Seton Hall University
43,2016,NBA,2,43,HOU,Zhou Qi\qizh01,20.164,F-C,cn,
44,2016,NBA,2,44,ATL,Isaia Cordinier\cordiis01,19.212,G,fr,
45,2016,NBA,2,45,BOS,Demetrius Jackson\jacksde01,21.295,G,us,University of Notre Dame
46,2016,NBA,2,46,DAL,A.J. Hammons\hammoaj01,23.306,C,us,Purdue University
47,2016,NBA,2,47,ORL,Jake Layman\laymaja01,22.114,F,us,University of Maryland
48,2016,NBA,2,48,CHI,Paul Zipser\zipsepa01,22.131,G-F,de,
49,2016,NBA,2,49,DET,Michael Gbinije\gbinimi01,24.024,G,us,Syracuse University
50,2016,NBA,2,50,IND,Georges Niang\niangge01,23.012,F,us,Iowa State University
51,2016,NBA,2,51,BOS,Ben Bentil\bentibe01,21.092,F,gh,Providence College
52,2016,NBA,2,52,UTA,Joel Bolomboy\bolomjo01,22.152,F,ua,Weber State University
53,2016,NBA,2,53,DEN,Petr Cornelie\cornepe01,20.338,F,fr,
54,2016,NBA,2,54,ATL,Kay Felder\feldeka01,21.092,G,us,Oakland University
55,2016,NBA,2,55,BRK,Marcus Paige\paigema01,22.291,G,us,University of North Carolina
56,2016,NBA,2,56,DEN,Daniel Hamilton\hamilda02,20.325,G-F,us,University of Connecticut
57,2016,NBA,2,57,MEM,Wang Zhelin\sheliwa01,22.16,C,cn,
58,2016,NBA,2,58,BOS,Abdel Nader\naderab01,22.277,F,eg,Iowa State University
59,2016,NBA,2,59,SAC,Isaiah Cousins\cousiis01,22.108,G,us,University of Oklahoma
60,2016,NBA,2,60,UTA,Tyrone Wallace\wallaty01,22.019,G,us,University of California
61,2015,NBA,1,1,MIN,Karl-Anthony Towns\townska01,19.227,C-F,us,University of Kentucky
62,2015,NBA,1,2,LAL,D'Angelo Russell\russeda01,19.127,G,us,Ohio State University
63,2015,NBA,1,3,PHI,Jahlil Okafor\okafoja01,19.197,C-F,us,Duke University
64,2015,NBA,1,4,NYK,Kristaps Porzingis\porzikr01,19.332,F-C,lv,
65,2015,NBA,1,5,ORL,Mario Hezonja\hezonma01,20.125,F-G,hr,
66,2015,NBA,1,6,SAC,Willie Cauley-Stein\caulewi01,21.316,F-C,us,University of Kentucky
67,2015,NBA,1,7,DEN,Emmanuel Mudiay\mudiaem01,19.116,G,cd,
68,2015,NBA,1,8,DET,Stanley Johnson\johnsst04,19.031,F,us,University of Arizona
