,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Alex Abrines\abrinal01,23,OKC,NBA,2016-17,68,6,15.5,2,5,0.6,1.4,1.4,3.6,0.6,0.7,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,0.393,0.426,0.381,0.531,0.898,0.56
2,Ron Baker\bakerro01,23,NYK,NBA,2016-17,52,13,16.5,1.6,4.2,1.1,2.5,0.4,1.7,0.5,0.8,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,0.378,0.45,0.267,0.431,0.651,0.456
3,Wade Baldwin\baldwwa01,20,MEM,NBA,2016-17,33,1,12.3,1.1,3.5,1,2.8,0.1,0.7,0.9,1.1,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2,0.313,0.355,0.136,0.326,0.838,0.404
4,Malik Beasley\beaslma01,20,DEN,NBA,2016-17,22,1,7.5,1.5,3.3,1.1,2,0.4,1.3,0.4,0.5,0.2,0.5,0.8,0.5,0.3,0,0.4,0.5,3.8,0.452,0.533,0.321,0.514,0.8,0.536
5,DeAndre' Bembry\bembrde01,22,ATL,NBA,2016-17,38,1,9.8,1.2,2.6,1.2,2.1,0,0.5,0.2,0.4,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,0.48,0.575,0.056,0.485,0.375,0.481
6,Dragan Bender\bendedr01,19,PHO,NBA,2016-17,43,0,13.3,1.3,3.7,0.7,1.4,0.7,2.3,0.1,0.3,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,0.354,0.483,0.277,0.441,0.364,0.44
7,Ben Bentil\bentibe01,21,DAL,NBA,2016-17,3,0,3.3,0,1,0,0.7,0,0.3,0,0,0,0.7,0.7,0,0,0,0.3,0.3,0,0,0,0,0,,0
8,Davis Bertans\bertada01,24,SAS,NBA,2016-17,67,6,12.1,1.5,3.5,0.5,0.9,1,2.6,0.4,0.5,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5,0.44,0.557,0.399,0.588,0.824,0.609
9,Joel Bolomboy\bolomjo01,23,UTA,NBA,2016-17,12,0,4.4,0.8,1.3,0.7,1,0.1,0.3,0.3,0.5,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8,0.563,0.667,0.25,0.594,0.5,0.59
10,Malcolm Brogdon\brogdma01,24,MIL,NBA,2016-17,75,28,26.4,3.9,8.5,2.8,5.9,1,2.6,1.5,1.7,0.6,2.2,2.8,4.2,1.1,0.2,1.5,1.9,10.2,0.457,0.48,0.404,0.518,0.865,0.555
11,Jaylen Brown\brownja02,20,BOS,NBA,2016-17,78,20,17.2,2.5,5.4,1.9,3.7,0.6,1.7,1.1,1.6,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,0.454,0.507,0.341,0.508,0.685,0.539
12,Nicolas Brussino\brussni01,23,DAL,NBA,2016-17,54,2,9.6,1,2.6,0.4,0.9,0.5,1.8,0.3,0.4,0.5,1.3,1.8,0.9,0.3,0.1,0.5,0.8,2.8,0.369,0.5,0.305,0.472,0.773,0.498
13,Marquese Chriss\chrisma01,19,PHO,NBA,2016-17,82,75,21.3,3.5,7.7,2.6,5,0.9,2.7,1.4,2.2,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2,0.449,0.52,0.321,0.506,0.624,0.529
14,Semaj Christon\chrisse01,24,OKC,NBA,2016-17,64,1,15.2,1.2,3.5,1,2.5,0.2,1,0.3,0.5,0.3,1.1,1.4,2,0.4,0.1,0.7,1.2,2.9,0.345,0.406,0.19,0.372,0.548,0.387
15,Quinn Cook\cookqu01,23,TOT,NBA,2016-17,14,0,13.4,2.4,4.7,1.6,2.9,0.8,1.9,0.1,0.4,0.1,0.4,0.5,1.9,0.3,0,0.9,0.9,5.6,0.5,0.55,0.423,0.583,0.4,0.579
16,Deyonta Davis\davisde01,20,MEM,NBA,2016-17,36,0,6.6,0.7,1.3,0.7,1.3,0,0,0.3,0.5,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,1.6,0.511,0.511,,0.511,0.556,0.528
17,Malcolm Delaney\delanma01,27,ATL,NBA,2016-17,73,2,17.1,2,5.3,1.6,3.8,0.4,1.5,1,1.3,0.1,1.5,1.7,2.6,0.5,0,1.3,1.5,5.4,0.374,0.428,0.236,0.407,0.806,0.456
18,Cheick Diallo\diallch01,20,NOP,NBA,2016-17,17,0,11.7,2.1,4.5,2.1,4.5,0,0,0.9,1.2,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1,5.1,0.474,0.474,,0.474,0.714,0.51
19,Kris Dunn\dunnkr01,22,MIN,NBA,2016-17,78,7,17.1,1.5,4,1.2,3.1,0.3,0.9,0.5,0.8,0.3,1.8,2.1,2.4,1,0.5,1.1,2.3,3.8,0.377,0.404,0.288,0.411,0.61,0.432
20,Henry Ellenson\ellenhe01,20,DET,NBA,2016-17,19,2,7.7,1.2,3.4,0.7,1.5,0.5,1.8,0.2,0.4,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,0.359,0.448,0.286,0.438,0.5,0.444
21,Joel Embiid\embiijo01,22,PHI,NBA,2016-17,31,31,25.4,6.5,13.8,5.3,10.7,1.2,3.2,6.2,7.9,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,0.466,0.495,0.367,0.508,0.783,0.584
22,Kay Felder\feldeka01,21,CLE,NBA,2016-17,42,0,9.2,1.5,3.8,1.3,3.2,0.2,0.5,0.8,1.2,0.1,0.9,1,1.4,0.4,0.2,0.7,0.9,4,0.392,0.404,0.318,0.415,0.714,0.462
23,Yogi Ferrell\ferreyo01,23,TOT,NBA,2016-17,46,29,26,3.5,8.6,2,4.7,1.5,3.8,1.6,1.9,0.4,2,2.4,3.7,0.9,0.2,1.5,2,10,0.406,0.422,0.386,0.492,0.831,0.533
24,Dorian Finney-Smith\finnedo01,23,DAL,NBA,2016-17,81,35,20.3,1.5,4.1,0.8,1.8,0.7,2.4,0.6,0.8,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,0.372,0.479,0.293,0.456,0.754,0.486
25,Bryn Forbes\forbebr01,23,SAS,NBA,2016-17,36,0,7.9,1,2.8,0.5,1.3,0.5,1.5,0.1,0.2,0.1,0.6,0.6,0.6,0,0,0.3,0.6,2.6,0.364,0.413,0.321,0.449,0.833,0.462
26,Patricio Garino\garinpa01,23,ORL,NBA,2016-17,5,0,8.6,0,1.4,0,0.4,0,1,0,0,0.2,1.2,1.4,0,0,0,0.6,0.8,0,0,0,0,0,,0
27,Michael Gbinije\gbinimi01,24,DET,NBA,2016-17,9,0,3.6,0.1,1.1,0.1,0.7,0,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0,0,0,0.2,0.4,0.1,0.167,0,0.1,1,0.184
